Accel_X,Accel_Y,Accel_Z,Mag_X,Mag_Y,Mag_Z,Mag_o,Gyro_X,Gyro_Y,Gyro_Z,Pressure,Temp,Timestamp,Time,v_X,v_Y,v_Z,X,Y,Z,depth
-3.2144,-1.8424,12.7792,256,-478,-225,0,-4.28575,-2.2710625,0.735,10197,2565,1425127666,0,0,0,0,0,0,0,0.197
-0.98,-1.176,11.0152,257,-465,-228,0,-4.68825,-3.0060625,1.05,10197,2566,1425127666,0.228492022,-0.734464754,-0.420973701,2.919945242,0,0,0,0.197
-1.1368,-1.2544,10.976,263,-451,-228,0,-1.9145,-0.8885625,2.765,10198,2566,1425127667,0.456739902,-0.958147677,-0.689393209,5.4341413,-0.167640024,-0.096086355,0.666471314,0.198
-0.6664,-0.9408,11.4072,265,-464,-240,0,-1.39825,-3.0235625,5.075,10199,2566,1425127667,0.685153961,-1.217808779,-0.975915804,7.941214008,-0.386494424,-0.253553456,1.907705584,0.199
-0.4704,-0.3528,11.5248,259,-457,-238,0,0,-2.2973125,6.86875,10199,2567,1425127667,0.912674904,-1.369428736,-1.189967507,10.53659091,-0.663571425,-0.47559474,3.714498081,0.199
-0.3136,-0.5096,11.0152,267,-463,-249,0,1.27925,-4.8873125,8.00625,10201,2567,1425127667,1.141251087,-1.476950972,-1.270609184,13.1708857,-0.976590219,-0.74759297,6.122911815,0.201
-0.2352,-0.392,11.172,257,-463,-253,0,0,-7.6260625,8.4525,10199,2567,1425127667,1.370172024,-1.548740578,-1.387267293,15.6924956,-1.314695219,-1.038462015,9.138003306,0.199
-0.4312,-0.3136,11.4464,247,-448,-253,0,0,-6.8910625,9.54625,10201,2567,1425127668,1.598628998,-1.602473658,-1.476822427,18.24481692,-1.668515805,-1.355392903,12.72306337,0.201
0,-0.1176,11.7208,239,-455,-253,0,-6.45575,-5.3073125,10.6925,10198,2567,1425127668,1.826790094,-1.700856723,-1.548373747,20.85644009,-2.034137952,-1.692346327,16.8858208,0.198
-0.0392,-0.98,11.2504,234,-453,-251,0,-5.957,-2.7873125,11.4625,10199,2568,1425127668,2.054754019,-1.700856723,-1.575182305,23.52835966,-2.421871925,-2.045319683,21.64033673,0.199
-0.3528,-0.1176,11.172,241,-450,-259,0,0,-0.7573125,11.5325,10201,2567,1425127668,2.283576012,-1.709826545,-1.799427858,26.10269861,-2.81106535,-2.405756037,27.02414288,0.201
-0.392,-0.0392,11.4072,248,-441,-267,0,1.568,-3.3998125,13.02,10203,2568,1425127669,2.511314869,-1.790172814,-1.826209947,28.64699712,-3.200459294,-2.815555681,32.96874163,0.203
-0.2352,-0.1568,11.368,252,-442,-279,0,-6.307,-2.9010625,12.6875,10201,2568,1425127669,2.739360094,-1.879566542,-1.83514932,31.24835461,-3.608699656,-3.23201414,39.50155254,0.201
-0.0784,-0.0784,11.2896,247,-437,-267,0,-10.18325,-3.0760625,12.88,10203,2568,1425127669,2.967666864,-1.933264295,-1.870947822,33.84374598,-4.037817423,-3.650991154,46.63576346,0.203
-0.1568,-0.3528,11.564,245,-448,-261,0,-6.1845,-5.2810625,12.53,10201,2568,1425127669,3.195530891,-1.951128834,-1.888812361,36.4162397,-4.47833881,-4.077312859,54.34753571,0.201
0.1176,-1.0584,11.3288,232,-432,-270,0,0.6755,-4.9660625,11.64625,10202,2568,1425127669,3.423340082,-1.986849315,-1.969183444,39.05062518,-4.922823891,-4.507601675,62.6434898,0.202
-0.1568,-0.392,11.564,241,-440,-277,0,0.7805,-5.4385625,11.24375,10202,2568,1425127670,3.651817083,-1.95998042,-2.211003502,41.63899543,-5.376773265,-4.957514803,71.56565954,0.202
-0.3528,-0.6664,11.172,225,-440,-275,0,-4.96825,-4.4585625,11.9175,10204,2568,1425127670,3.879558086,-1.995690209,-2.300277975,44.27259239,-5.823141171,-5.461050958,81.04856612,0.204
0.2352,-0.5488,11.4464,223,-433,-266,0,-7.707,-7.7748125,12.18875,10203,2568,1425127670,4.107856989,-2.076234062,-2.452416364,46.82314773,-6.278755056,-5.986201895,91.15595038,0.203
0.4312,-0.6664,11.2504,203,-433,-264,0,0,-7.2410625,12.3375,10201,2568,1425127670,4.335649967,-2.022657154,-2.57742915,49.43055728,-6.751706597,-6.544845123,101.8219347,0.201
0.3136,-0.5096,11.4464,200,-429,-266,0,4.5255,-4.6598125,13.2125,10200,2568,1425127671,4.563360929,-1.924468187,-2.729175735,51.99239669,-7.212287803,-7.131753995,113.0778144,0.2
0.3136,-0.8232,10.8192,196,-430,-272,0,0.483,-5.1585625,13.58875,10199,2568,1425127671,4.790889025,-1.853115376,-2.845124053,54.59677427,-7.650158384,-7.752718151,124.9075454,0.199
-0.5096,-0.98,12.6224,196,-440,3,0,-1.687,-2.4810625,12.32875,10195,2568,1425127678,12.40631294,0.535081565,-9.114141022,136.9895687,-21.76241754,-29.41954391,540.685126,0.195
0.1176,-0.2744,11.6424,181,-398,15,0,4.823,-4.2923125,11.97875,10196,2569,1425127679,12.63451004,0.418792323,-9.337774178,139.8699638,-21.64031348,-31.49936444,571.9457481,0.196
0.0784,-0.1568,10.976,177,-420,-13,0,8.5855,-3.7235625,13.04625,10193,2570,1425127679,12.86240602,0.44559289,-9.400308833,142.5232199,-21.5448724,-33.62740559,603.8215498,0.193
0.1176,0.3528,11.4464,154,-420,-33,0,2.1805,-3.6010625,14.41125,10189,2570,1425127679,13.09033108,0.463462215,-9.436047483,145.0249254,-21.44331061,-35.76997157,636.3061636,0.189
0.2352,-0.1176,11.368,156,-418,-41,0,-5.047,-7.1623125,15.0325,10185,2570,1425127679,13.31837296,0.490279941,-9.355594305,147.635184,-21.33762181,-37.92178565,669.3779213,0.185
0.2352,-0.2352,11.4464,143,-423,-38,0,-4.93325,-2.5073125,16.2575,10184,2570,1425127680,13.54644799,0.543923187,-9.382415928,150.2279409,-21.2258012,-40.05556307,703.0498199,0.184
-0.2352,0.2352,11.6032,134,-411,-47,0,-6.29825,2.9264375,17.15,10181,2570,1425127680,13.77528,0.597744475,-9.436237216,152.8472436,-21.10133417,-42.20256014,737.4267811,0.181
-0.0392,0.3136,11.4072,136,-412,-55,0,2.60925,1.2551875,17.7625,10186,2571,1425127680,14.0034411,0.544080985,-9.382573726,155.4946424,-20.96495213,-44.35554237,772.3005758,0.186
-0.0392,0.392,11.4464,134,-404,-73,0,5.26925,0,18.62875,10187,2571,1425127680,14.23120308,0.535152716,-9.311147568,158.0927689,-20.84103117,-46.49253597,807.716344,0.187
0.0784,0.2744,11.172,124,-407,-94,0,1.50675,-2.8573125,20.545,10189,2571,1425127681,14.45925903,0.526212922,-9.221749634,160.7031886,-20.7189864,-48.61599861,843.7703413,0.189
-0.2352,0.9016,11.4072,103,-406,-96,0,0.84175,-2.3585625,21.07875,10187,2571,1425127681,14.68718195,0.544082079,-9.159207586,163.2495434,-20.59905042,-50.71784668,880.3982807,0.187
0,0.2352,11.76,80,-410,-103,0,-1.15325,-2.1835625,21.20125,10186,2571,1425127681,14.9149859,0.490502591,-8.953819549,165.8481486,-20.47510638,-52.80435031,917.5871708,0.186
-0.1176,0.2352,11.5248,67,-408,-108,0,-5.24825,-1.5185625,21.02625,10184,2571,1425127681,15.14268708,0.490502591,-8.90026423,168.5259146,-20.36341835,-54.84314565,955.3509911,0.184
0.1568,-0.0784,11.172,43,-410,-103,0,0,0,22.56625,10185,2571,1425127681,15.37184691,0.463553395,-8.846365837,171.1669358,-20.25101486,-56.88272871,993.9703614,0.185
-0.4312,0.4312,11.5248,32,-411,-107,0,2.03175,0,21.3675,10184,2571,1425127682,15.6001749,0.499355223,-8.864266751,173.7178161,-20.14517265,-58.90260163,1033.052564,0.184
0.3136,0.5096,11.2896,16,-402,-106,0,1.99675,-1.0810625,22.645,10184,2571,1425127682,15.82873607,0.40079965,-8.765711178,176.3519378,-20.03103944,-60.92862875,1072.75771,0.184
-0.0784,0.784,11.6032,-1,-408,-102,0,-4.2945,-3.0673125,20.3525,10186,2571,1425127682,16.05648994,0.472223266,-8.649647802,178.923188,-19.93975576,-62.92505346,1112.922547,0.186
0.0784,0.7448,11.5248,-18,-411,-95,0,-5.257,-2.6210625,19.7575,10187,2571,1425127682,16.28441095,0.454354259,-8.470957731,181.567801,-19.83212616,-64.89648992,1153.702901,0.187
-0.196,0.7448,11.2504,-32,-414,-74,0,-4.9245,-2.6998125,17.87625,10184,2571,1425127683,16.51250601,0.472236911,-8.301072534,184.1965509,-19.7284902,-66.82867348,1195.117618,0.184
-0.2352,0.0784,11.2896,-40,-412,-64,0,-6.10575,-3.4785625,16.17875,10185,2571,1425127683,16.74082804,0.427485793,-8.131018287,186.7652651,-19.62066811,-68.72399121,1237.173749,0.185
0.5096,0.0392,11.5248,-50,-422,-58,0,1.5155,-3.2598125,15.155,10185,2572,1425127683,16.96955299,0.373689684,-8.11308625,189.3474783,-19.52289144,-70.58375801,1279.891626,0.185
0,0.7448,11.2112,-49,-419,-50,0,6.398,0,14.55125,10186,2572,1425127683,17.19723892,0.489718433,-8.104160962,191.9715131,-19.43780756,-72.43099359,1323.003382,0.186
