a,b,c,d,e,f,g,h,i,j,k,l,m,Time
-20.0,-4.0,1172.0,259.0,-404.0,-357.0,0.0,22.223250000000004,0.0,-2.8529375000000003,10197.0,2081.0,1425126544.936137,0.0
-4.0,-24.0,1120.0,249.0,-371.0,-341.0,0.0,14.068250000000003,-5.47575,-1.5579375000000004,10194.0,2081.0,1425126545.164065,0.22792792320251465
4.0,16.0,1160.0,246.0,-369.0,-338.0,0.0,0.0,0.0,5.0133125000000005,10200.0,2082.0,1425126545.391566,0.4554290771484375
-16.0,-20.0,1168.0,252.0,-383.0,-328.0,0.0,0.0,9.740500000000003,4.7070625,10201.0,2082.0,1425126545.619244,0.6831071376800537
-32.0,-48.0,1156.0,249.0,-363.0,-312.0,0.0,7.777000000000002,-9.281999999999998,3.8758125000000003,10196.0,2082.0,1425126545.847764,0.9116270542144775
0.0,-24.0,1164.0,234.0,-378.0,-318.0,0.0,19.125750000000004,5.803000000000001,4.4970625,10194.0,2082.0,1425126546.075893,1.1397559642791748
0.0,-8.0,1152.0,242.0,-380.0,-324.0,0.0,15.765750000000002,0.0,7.463312500000001,10196.0,2083.0,1425126546.30386,1.367722988128662
0.0,20.0,1160.0,246.0,-374.0,-337.0,0.0,12.029500000000002,0.0,5.0483125,10192.0,2083.0,1425126546.531684,1.5955469608306885
0.0,4.0,1176.0,232.0,-382.0,-327.0,0.0,0.0,0.0,4.4445625,10195.0,2083.0,1425126546.759662,1.8235249519348145
-4.0,-12.0,1136.0,230.0,-374.0,-317.0,0.0,8.127000000000002,11.481750000000002,6.3345625000000005,10193.0,2083.0,1425126546.987438,2.0513010025024414
-24.0,-48.0,1164.0,243.0,-379.0,-327.0,0.0,13.097000000000001,6.3980000000000015,4.9345625,10191.0,2083.0,1425126547.215327,2.2791900634765625
-28.0,8.0,1160.0,228.0,-369.0,-320.0,0.0,17.148250000000004,0.0,7.655812500000001,10198.0,2083.0,1425126547.448063,2.5119259357452393
-36.0,36.0,1156.0,238.0,-378.0,-333.0,0.0,8.459500000000002,4.796750000000001,4.1295625000000005,10197.0,2083.0,1425126547.682213,2.7460761070251465
-52.0,-4.0,1160.0,260.0,-374.0,-322.0,0.0,7.050750000000002,0.0,-2.5816875,10201.0,2083.0,1425126547.909038,2.9729011058807373
-64.0,-56.0,1180.0,258.0,-387.0,-320.0,0.0,13.070750000000002,0.0,-6.177937500000001,10197.0,2083.0,1425126548.135896,3.199759006500244
-24.0,-72.0,1140.0,264.0,-376.0,-322.0,0.0,16.430750000000003,5.9692500000000015,-6.2654375,10205.0,2083.0,1425126548.363817,3.427680015563965
-92.0,24.0,1188.0,268.0,-379.0,-323.0,0.0,8.415750000000003,0.0,-8.802937500000002,10197.0,2083.0,1425126548.593247,3.6571099758148193
-36.0,-12.0,1184.0,267.0,-384.0,-303.0,0.0,0.0,0.0,-18.139187500000002,10198.0,2084.0,1425126548.820007,3.8838701248168945
-40.0,-56.0,1160.0,274.0,-390.0,-296.0,0.0,8.459500000000002,9.093000000000002,4.2345625,10204.0,2084.0,1425126549.046161,4.1100239753723145
-20.0,-72.0,1116.0,261.0,-374.0,-296.0,0.0,23.2295,0.0,-17.9641875,10202.0,2084.0,1425126549.279107,4.342970132827759
-8.0,40.0,1192.0,245.0,-366.0,-301.0,0.0,18.504500000000004,0.0,-4.7341875,10200.0,2084.0,1425126549.505825,4.569688081741333
0.0,0.0,1156.0,250.0,-360.0,-306.0,0.0,0.0,0.0,0.0,10195.0,2084.0,1425126549.73244,4.796303033828735
-16.0,-4.0,1136.0,241.0,-376.0,-273.0,0.0,-5.5142500000000005,0.0,7.927062500000001,10196.0,2084.0,1425126549.959501,5.023364067077637
-8.0,-60.0,1132.0,249.0,-365.0,-269.0,0.0,15.879500000000004,5.496750000000001,15.5570625,10195.0,2084.0,1425126550.186273,5.250136137008667
12.0,-64.0,1128.0,230.0,-359.0,-291.0,0.0,29.240750000000006,-9.81575,22.889562500000004,10193.0,2084.0,1425126550.41324,5.477102994918823
8.0,16.0,1176.0,228.0,-358.0,-332.0,0.0,20.61325,14.798000000000002,22.810812500000004,10201.0,2084.0,1425126550.64104,5.7049031257629395
-24.0,52.0,1160.0,231.0,-360.0,-332.0,0.0,24.865750000000006,0.0,-17.9641875,10198.0,2084.0,1425126550.867359,5.931221961975098
20.0,-68.0,1164.0,215.0,-358.0,-321.0,0.0,0.0,0.0,24.2633125,10198.0,2084.0,1425126551.101218,6.165081024169922
-48.0,-52.0,1180.0,219.0,-372.0,-323.0,0.0,8.389500000000002,4.849250000000001,25.453312500000003,10192.0,2084.0,1425126551.327953,6.391816139221191
-20.0,-16.0,1156.0,215.0,-372.0,-327.0,0.0,13.753250000000001,0.0,16.6945625,10200.0,2084.0,1425126551.554585,6.61844801902771
-52.0,-40.0,1180.0,220.0,-374.0,-336.0,0.0,0.0,0.0,23.8258125,10196.0,2085.0,1425126551.780216,6.84407901763916
-40.0,-44.0,1148.0,194.0,-357.0,-343.0,0.0,19.572000000000003,0.0,10.5608125,10209.0,2085.0,1425126552.013428,7.077291011810303
-44.0,-32.0,1136.0,217.0,-366.0,-354.0,0.0,7.182000000000002,6.643000000000002,8.6708125,10204.0,2085.0,1425126552.239907,7.303770065307617
-8.0,0.0,1156.0,209.0,-368.0,-342.0,0.0,0.0,0.0,6.369562500000001,10202.0,2085.0,1425126552.466729,7.53059196472168
-24.0,-64.0,1128.0,206.0,-365.0,-329.0,0.0,0.0,0.0,-3.649187500000001,10196.0,2084.0,1425126552.69363,7.757493019104004
-8.0,-108.0,1132.0,212.0,-376.0,-319.0,0.0,22.380750000000003,0.0,-4.427937500000001,10197.0,2085.0,1425126552.920722,7.9845850467681885
-12.0,-8.0,1152.0,200.0,-356.0,-339.0,0.0,24.332,-7.269499999999999,-5.582937500000001,10196.0,2085.0,1425126553.147928,8.211791038513184
16.0,4.0,1116.0,195.0,-349.0,-346.0,0.0,12.493250000000002,0.0,-16.5204375,10196.0,2084.0,1425126553.37494,8.43880295753479
8.0,-12.0,1156.0,200.0,-360.0,-341.0,0.0,0.0,0.0,-14.997937499999999,10197.0,2085.0,1425126553.601821,8.66568398475647
-16.0,-80.0,1160.0,209.0,-359.0,-311.0,0.0,0.0,0.0,-18.3316875,10193.0,2085.0,1425126553.828474,8.892337083816528
12.0,-56.0,1140.0,209.0,-356.0,-309.0,0.0,17.052000000000003,0.0,-19.7841875,10188.0,2085.0,1425126554.054997,9.118860006332397
-12.0,-16.0,1164.0,214.0,-365.0,-309.0,0.0,19.484500000000004,10.239250000000002,-23.931687500000002,10197.0,2085.0,1425126554.282035,9.345898151397705
-36.0,44.0,1180.0,232.0,-346.0,-311.0,0.0,14.260750000000002,9.854250000000002,-20.4054375,10190.0,2085.0,1425126554.509137,9.572999954223633
-8.0,4.0,1172.0,235.0,-350.0,-297.0,0.0,19.405750000000005,0.0,10.919562500000001,10197.0,2085.0,1425126554.734969,9.798831939697266
-24.0,-32.0,1152.0,231.0,-338.0,-279.0,0.0,8.520750000000001,5.934250000000001,-26.8191875,10200.0,2085.0,1425126554.96831,10.032173156738281
-64.0,-36.0,1180.0,212.0,-328.0,-274.0,0.0,23.142000000000003,0.0,-13.475437500000002,10197.0,2085.0,1425126555.1952,10.259063005447388
