a,b,c,d,e,f,g,h,i,j,k,l,m,Time
-28,-24,1152,366,-481,-240,0,0,0,0.4921875,10108,2302,1425134085,0
-56,4,1160,362,-456,-214,0,0,-2.6009375,-0.6803125,10111,2302,1425134085,0.228001118
0,-52,1164,348,-457,-217,0,0,-0.5096875,0.9909375,10108,2302,1425134085,0.456058979
-32,-20,1188,354,-459,-221,0,0,-0.5709375,3.2221875,10110,2303,1425134086,0.683824062
-20,4,1128,356,-445,-222,0,0,0.5228125,2.1984375,10110,2303,1425134086,0.91160202
-16,-64,1168,350,-455,-229,0,0,0,3.1959375,10110,2303,1425134086,1.139137983
-16,-48,1092,350,-456,-226,0,0,0.5928125,1.9884375,10111,2303,1425134086,1.366961956
4,-72,1088,344,-454,-230,0,0,0,0,10109,2303,1425134087,1.594433069
-24,-44,1160,351,-450,-230,0,0,3.7603125,0,10110,2303,1425134087,1.824099064
-32,-16,1128,353,-457,-228,0,0,0.6103125,0,10109,2304,1425134087,2.052056074
-36,-24,1184,356,-454,-229,0,0,0,-1.2753125,10109,2304,1425134087,2.279923916
-32,-32,1172,350,-458,-231,0,0,0,0.9384375,10108,2304,1425134087,2.507663012
0,-32,1124,353,-445,-229,0,0,0,-0.9165625,10109,2304,1425134088,2.735362053
-4,4,1188,359,-450,-228,0,0,0,1.0171875,10110,2304,1425134088,2.963037968
12,-16,1100,356,-442,-235,0,0,0,1.0259375,10109,2304,1425134088,3.191245079
-56,-20,1224,348,-457,-226,0,0,0,0,10111,2304,1425134088,3.418806076
-4,-28,1172,354,-446,-232,0,0,0,0,10111,2304,1425134089,3.646533012
-56,-24,1164,355,-461,-232,0,0,0,1.9359375,10110,2304,1425134089,3.874143124
-52,-20,1208,358,-443,-241,0,0,0,0,10108,2304,1425134089,4.101993084
-32,-32,1132,349,-448,-239,0,0,0,0,10107,2304,1425134089,4.330018044
-8,-20,1096,354,-445,-238,0,0,0.5228125,1.4546875,10110,2304,1425134090,4.557878971
-32,8,1124,351,-445,-234,0,0,0,0,10111,2304,1425134090,4.785323143
-40,-20,1172,349,-463,-237,0,0,0,0.8334375,10108,2305,1425134090,5.013278008
-72,-8,1164,351,-450,-245,0,0,0.6015625,0,10108,2305,1425134090,5.241614103
-12,-64,1156,354,-444,-241,0,0,0,0,10107,2305,1425134090,5.469499111
-68,16,1156,350,-457,-240,0,0,0,1.5159375,10109,2305,1425134091,5.69699192
-12,-20,1188,350,-440,-243,0,0,0,0.5796875,10110,2304,1425134091,5.924502134
-28,-44,1184,351,-450,-242,0,0,0,1.0084375,10107,2305,1425134091,6.152218103
12,-40,1132,356,-445,-244,0,0,0,1.7609375,10111,2305,1425134091,6.379956961
-32,0,1152,352,-446,-243,0,0,0,1.8746875,10108,2305,1425134092,6.607897997
-36,-40,1152,346,-459,-248,0,0,0,0.6846875,10110,2305,1425134092,6.838096142
-16,-44,1184,346,-452,-244,0,-5.0063125,0,1.9096875,10110,2305,1425134092,7.06580615
-40,-60,1156,354,-449,-255,0,0,0,1.8746875,10111,2305,1425134092,7.293678999
-40,-12,1140,347,-455,-249,0,0,0,1.4371875,10108,2305,1425134092,7.521502972
-32,-12,1152,343,-452,-252,0,0,0,2.3471875,10111,2305,1425134093,7.749380112
-52,-16,1188,353,-449,-256,0,0,0,1.5071875,10111,2305,1425134093,7.97743392
-16,-20,1140,343,-453,-262,0,0,0,2.9334375,10106,2305,1425134093,8.205318928
-32,-20,1124,344,-440,-264,0,0,0,2.7409375,10109,2305,1425134093,8.433395147
-20,-8,1176,349,-450,-266,0,0,0,2.7584375,10109,2305,1425134094,8.661026001
-20,-12,1104,345,-457,-273,0,0,0,2.8284375,10109,2305,1425134094,8.888905048
-12,-20,1104,337,-454,-263,0,0,0,3.8259375,10107,2305,1425134094,9.116609097
-28,-28,1096,338,-454,-279,0,0,-0.4309375,3.0996875,10110,2305,1425134094,9.349956036
-12,52,1124,356,-460,-283,0,0,3.2615625,0.4921875,10109,2305,1425134095,9.576508045
-48,20,1156,356,-462,-279,0,0,3.7778125,-6.0440625,10107,2305,1425134095,9.803539991
-48,12,1136,358,-460,-275,0,0,0,-11.4340625,10107,2305,1425134095,10.03051805
-64,8,1184,360,-472,-273,0,0,1.0215625,-13.4903125,10108,2305,1425134095,10.25747609
-60,52,1160,361,-454,-264,0,0,0,3.1609375,10109,2305,1425134095,10.48317599
-16,-20,1164,354,-440,-263,0,0,0.6278125,-13.4203125,10106,2305,1425134096,10.71102095
-32,-4,1148,349,-455,-250,0,0,0,-9.0278125,10109,2305,1425134096,10.93899298
-20,16,1140,356,-451,-243,0,0,0,1.1921875,10109,2305,1425134096,11.166682
-8,-40,1100,352,-447,-245,0,0,0,5.0596875,10109,2305,1425134096,11.39475513
-56,-44,1204,348,-463,-247,0,0,3.7953125,5.9171875,10112,2306,1425134097,11.62262201
-44,-60,1184,345,-454,-252,0,0,0,6.3984375,10112,2306,1425134097,11.84203315
-24,-76,1184,347,-461,-262,0,0,0.4003125,6.1359375,-83690,2304,1425134097,12.069628
-48,12,1156,343,-436,-270,0,0,0,6.8884375,10110,2305,1425134097,12.29764605
-12,-28,1148,336,-453,-272,0,0,0,7.8421875,10110,2305,1425134097,12.525383
-16,-52,1168,338,-445,-283,0,0,0,6.8709375,10106,2306,1425134098,12.75315595
-16,-4,1124,337,-446,-292,0,0,0,7.7721875,10107,2305,1425134098,12.98101592
-16,-12,1188,328,-447,-298,0,0,0,7.2559375,10108,2306,1425134098,13.20880008
-40,-24,1204,327,-451,-297,0,0,0,6.8184375,10108,2306,1425134098,13.43663406
-24,-16,1144,320,-448,-300,0,0,0,7.0984375,10110,2306,1425134099,13.66435599
-56,-44,1180,323,-435,-312,0,-5.0325625,0,8.6559375,10108,2306,1425134099,13.89230895
16,-28,1140,317,-439,-317,0,0,0,7.3784375,10108,2306,1425134099,14.12003112
8,-36,1172,312,-441,-336,0,0,0.6278125,8.2359375,10107,2306,1425134099,14.35365295
-20,-44,1180,322,-451,-338,0,0,2.3428125,3.5196875,10108,2306,1425134100,14.58028913
-84,-12,1224,320,-451,-343,0,1.0661875,3.6465625,-1.1528125,10110,2306,1425134100,14.80706906
-16,-68,1176,323,-458,-343,0,0,0,-5.5365625,10108,2306,1425134100,15.03390908
-32,-32,1128,328,-453,-333,0,0,1.3015625,-9.8153125,10110,2306,1425134100,15.26084208
-20,-40,1164,325,-459,-322,0,0,1.1353125,-13.6390625,10109,2306,1425134100,15.48826909
-40,-8,1136,333,-457,-318,0,0,-0.5796875,-15.5378125,10108,2306,1425134101,15.71506715
-20,-12,1208,344,-439,-294,0,0,0.6190625,8.1396875,10107,2306,1425134101,15.94366813
-52,-8,1136,330,-451,-299,0,0,1.2840625,-12.1515625,10110,2306,1425134101,16.17739105
20,-44,1104,325,-451,-287,0,0,0.4178125,-6.6215625,10109,2306,1425134101,16.40428615
-52,-44,1212,315,-448,-284,0,0,-0.4309375,1.8221875,10110,2306,1425134102,16.63116908
-28,-8,1212,315,-448,-288,0,0,0,8.2709375,10110,2306,1425134102,16.85959506
-36,-68,1148,325,-449,-297,0,0,-0.5446875,12.6809375,10107,2306,1425134102,17.08608794
-60,-60,1212,342,-463,-331,0,0,-0.5359375,15.6209375,10108,2306,1425134102,17.31298494
-56,-76,1204,309,-443,-324,0,0,1.2665625,19.4184375,10108,2306,1425134102,17.53991294
-64,-68,1192,263,-408,-321,0,0,1.2840625,-12.1515625,10110,2306,1425134103,17.76745009
-20,16,1108,277,-444,-363,0,0,1.2140625,22.5859375,10107,2306,1425134103,18.00091505
-8,-48,1152,280,-453,-377,0,0,2.1065625,17.9921875,10108,2306,1425134103,18.22785711
-32,-8,1148,270,-453,-380,0,0,3.6465625,14.1771875,10108,2306,1425134103,18.45472193
-52,40,1144,253,-452,-409,0,2.0111875,-2.5221875,8.1309375,10105,2306,1425134104,18.68157101
-16,12,1184,255,-435,-405,0,0,0.9690625,4.1059375,10109,2306,1425134104,18.90829897
-52,-8,1156,249,-451,-404,0,0,0,0,10107,2306,1425134104,19.13514495
-12,4,1148,252,-451,-400,0,0,0,-5.6678125,10108,2306,1425134104,19.36283994
-44,-4,1204,254,-447,-391,0,0,-0.4571875,-7.6978125,10111,2307,1425134105,19.58962297
-24,-16,1164,264,-449,-392,0,0,3.6378125,-10.3490625,10109,2307,1425134105,19.81877112
-36,-60,1136,277,-452,-387,0,2.1424375,0.4878125,-12.5890625,10108,2307,1425134105,20.045439
-36,-4,1160,279,-444,-389,0,0,1.1265625,-15.5290625,10108,2307,1425134105,20.27233815
-28,16,1152,282,-449,-377,0,0,-0.5009375,-14.9953125,10106,2307,1425134105,20.49906206
-12,48,1140,297,-454,-364,0,0,3.3840625,-17.8128125,10108,2307,1425134106,20.72599602
-32,-56,1172,302,-452,-366,0,0,0,-17.4978125,10108,2307,1425134106,20.95277715
0,4,1136,319,-454,-344,0,0,0.4353125,-20.3940625,10109,2307,1425134106,21.17953205
-52,16,1156,326,-456,-334,0,0,0.9953125,-19.3528125,10109,2307,1425134106,21.40629506
-12,-48,1120,335,-457,-322,0,0,1.1703125,22.4284375,10109,2307,1425134107,21.63283801
