a,b,c,d,e,f,g,h,i,j,k,l,m,n
-36.0,-24.0,1148.0,357.0,-480.0,-283.0,0.0,0.0,0.7314999999999987,0.0,10107.0,2314.0,1425134306.63752,0.0
-32.0,-40.0,1156.0,350.0,-443.0,-263.0,0.0,0.0,-2.6285000000000025,-0.9069375,10110.0,2315.0,1425134306.864779,0.22725892066955566
-8.0,-36.0,1120.0,345.0,-444.0,-263.0,0.0,0.15356249999999994,3.7589999999999986,0.0,10109.0,2315.0,1425134307.092154,0.4546339511871338
-56.0,-36.0,1192.0,349.0,-448.0,-259.0,0.0,-0.24018750000000005,0.0,2.8380625000000004,10110.0,2315.0,1425134307.31897,0.6814498901367188
-8.0,-76.0,1168.0,352.0,-452.0,-261.0,0.0,0.3110625,-0.4147500000000015,2.0330625000000007,10109.0,2316.0,1425134307.545676,0.9081559181213379
12.0,-140.0,1184.0,344.0,-456.0,-258.0,0.0,-0.4851875000000001,0.0,-0.2594375,10108.0,2316.0,1425134307.772456,1.1349358558654785
-24.0,-8.0,1152.0,351.0,-454.0,-262.0,0.0,0.7310625,0.7139999999999986,-6.156937500000001,10108.0,2316.0,1425134307.999827,1.362306833267212
-24.0,-68.0,1144.0,340.0,-446.0,-255.0,0.0,0.5735625,0.0,0.0,10109.0,2316.0,1425134308.226838,1.589318037033081
-40.0,-16.0,1184.0,339.0,-442.0,-256.0,0.0,-0.47643750000000007,0.0,2.724312500000001,10109.0,2316.0,1425134308.453558,1.816037893295288
4.0,-44.0,1112.0,344.0,-440.0,-257.0,0.0,-4.9914375,-0.49350000000000094,2.2518125000000007,10109.0,2316.0,1425134308.680401,2.0428810119628906
-36.0,-136.0,1252.0,347.0,-442.0,-263.0,0.0,0.0,0.0,-0.7319374999999999,10109.0,2316.0,1425134308.90766,2.2701399326324463
-24.0,44.0,1144.0,360.0,-466.0,-267.0,0.0,0.8010625,0.6002499999999982,-6.2356875,10109.0,2316.0,1425134309.134824,2.4973039627075195
-8.0,-72.0,1188.0,337.0,-444.0,-259.0,0.0,0.8973125,-0.45850000000000257,-1.2569375,10110.0,2316.0,1425134309.362066,2.724545955657959
-12.0,0.0,1120.0,335.0,-445.0,-259.0,0.0,-4.6851875000000005,0.0,2.9780625,10109.0,2316.0,1425134309.589487,2.9519670009613037
-32.0,-60.0,1160.0,336.0,-439.0,-264.0,0.0,-4.7376875,-0.6072500000000023,7.668062500000001,10108.0,2316.0,1425134309.816976,3.1794559955596924
-32.0,-56.0,1228.0,351.0,-445.0,-270.0,0.0,0.0,0.0,6.0930625,10109.0,2316.0,1425134310.043987,3.4064669609069824
-32.0,-28.0,1112.0,345.0,-450.0,-276.0,0.0,1.6148125,0.8539999999999983,2.6280625000000004,10109.0,2316.0,1425134310.270791,3.6332709789276123
-28.0,-104.0,1240.0,346.0,-443.0,-280.0,0.0,1.3523125,0.0,-1.7731875000000001,10109.0,2317.0,1425134310.497653,3.860132932662964
-56.0,60.0,1148.0,350.0,-446.0,-282.0,0.0,0.3285625,0.0,-8.2131875,10111.0,2316.0,1425134310.724931,4.087410926818848
-4.0,-68.0,1200.0,344.0,-450.0,-279.0,0.0,0.8010625,-0.39725000000000144,-5.159437500000001,10109.0,2317.0,1425134310.951926,4.314405918121338
-48.0,-28.0,1132.0,344.0,-448.0,-272.0,0.0,-0.44143750000000004,0.0,-1.6156875,10108.0,2316.0,1425134311.178958,4.541437864303589
-36.0,-16.0,1144.0,335.0,-443.0,-267.0,0.0,-5.0176875,0.0,6.233062500000001,10108.0,2317.0,1425134311.406425,4.7689049243927
-16.0,-116.0,1236.0,346.0,-451.0,-276.0,0.0,-4.308937500000001,-0.40600000000000236,6.3818125000000006,10109.0,2317.0,1425134311.633359,4.99583888053894
-32.0,-100.0,1244.0,342.0,-453.0,-279.0,0.0,0.0,0.0,2.7768125,10112.0,2317.0,1425134311.860342,5.222821950912476
