a,b,c,d,e,f,g,h,i,j,k,l,m,Time
-20.0,-24.0,1168.0,344.0,-476.0,-319.0,0.0,-0.41912500000000014,0.0,0.0,10111.0,2316.0,1425134331.123799,0.0
-12.0,-52.0,1156.0,337.0,-456.0,-295.0,0.0,-0.24412500000000015,-2.0938750000000006,0.4357500000000001,10111.0,2316.0,1425134331.350741,0.22694182395935059
-8.0,12.0,1172.0,335.0,-449.0,-298.0,0.0,-0.3053750000000002,3.8036249999999994,0.3832500000000003,10110.0,2317.0,1425134331.577565,0.453765869140625
-20.0,16.0,1124.0,334.0,-443.0,-301.0,0.0,0.27212499999999995,0.0,1.3107500000000005,10107.0,2317.0,1425134331.804568,0.6807689666748047
-64.0,-56.0,1216.0,331.0,-450.0,-299.0,0.0,-0.7866250000000001,0.0,3.087,10110.0,2317.0,1425134332.031244,0.907444953918457
-4.0,-72.0,1136.0,334.0,-455.0,-300.0,0.0,-0.20912500000000012,0.0,-0.8067499999999999,10111.0,2317.0,1425134332.258096,1.1342968940734863
-48.0,36.0,1140.0,330.0,-447.0,-297.0,0.0,0.49087499999999995,0.0,-0.8767499999999998,10108.0,2317.0,1425134332.484756,1.3609569072723389
-56.0,80.0,1076.0,334.0,-450.0,-300.0,0.0,-0.27912500000000007,0.0,-1.2354999999999998,10108.0,2318.0,1425134332.711504,1.5877048969268799
-56.0,0.0,1192.0,333.0,-441.0,-298.0,0.0,0.7533749999999999,0.0,-5.18175,10108.0,2318.0,1425134332.938462,1.8146629333496094
-8.0,-36.0,1180.0,323.0,-442.0,-296.0,0.0,-5.3191250000000005,0.0,2.8595,10108.0,2318.0,1425134333.165943,2.0421438217163086
-16.0,-16.0,1164.0,333.0,-437.0,-294.0,0.0,-4.619125,0.0,4.452,10108.0,2318.0,1425134333.392469,2.268669843673706
-4.0,28.0,1068.0,330.0,-448.0,-303.0,0.0,-0.8216250000000002,0.0,5.283250000000001,10109.0,2318.0,1425134333.619383,2.495584011077881
-72.0,12.0,1124.0,335.0,-449.0,-311.0,0.0,0.35087500000000005,0.0,2.1857500000000005,10109.0,2318.0,1425134333.84614,2.7223408222198486
-48.0,40.0,1088.0,333.0,-445.0,-304.0,0.0,0.0,0.0,0.0,10108.0,2318.0,1425134334.072876,2.9490768909454346
-60.0,36.0,1112.0,329.0,-454.0,-306.0,0.0,0.4296249999999999,0.0,-5.63675,10112.0,2318.0,1425134334.299929,3.1761298179626465
-44.0,-24.0,1160.0,331.0,-442.0,-311.0,0.0,-0.3403750000000001,0.0,-1.113,10108.0,2318.0,1425134334.527966,3.4041669368743896
-16.0,64.0,1156.0,332.0,-453.0,-304.0,0.0,0.2021249999999999,0.0,0.0,10108.0,2318.0,1425134334.754588,3.630788803100586
-56.0,36.0,1128.0,331.0,-454.0,-309.0,0.0,-0.1478750000000001,0.0,-1.03425,10110.0,2318.0,1425134334.981316,3.8575170040130615
-4.0,-84.0,1220.0,332.0,-443.0,-301.0,0.0,0.0,0.0,0.5495000000000001,10109.0,2318.0,1425134335.20825,4.084450960159302
-8.0,32.0,1052.0,329.0,-447.0,-302.0,0.0,-0.35787500000000017,0.0,-0.7192499999999997,10108.0,2318.0,1425134335.435144,4.311344861984253
-32.0,52.0,1100.0,336.0,-449.0,-306.0,0.0,-0.5678750000000001,0.0,0.3132500000000005,10110.0,2318.0,1425134335.663319,4.539520025253296
-20.0,-84.0,1216.0,325.0,-449.0,-303.0,0.0,0.0,0.0,1.0132500000000002,10111.0,2318.0,1425134335.890561,4.766762018203735
-28.0,-52.0,1172.0,332.0,-443.0,-305.0,0.0,0.0,0.0,0.0,10109.0,2318.0,1425134336.117306,4.993506908416748
-12.0,8.0,1144.0,326.0,-451.0,-294.0,0.0,-0.6641250000000002,0.0,-0.7192499999999997,10108.0,2318.0,1425134336.344106,5.220306873321533
-40.0,20.0,1124.0,317.0,-431.0,-290.0,0.0,0.0,-0.43137500000000095,0.7420000000000004,10109.0,2318.0,1425134336.572218,5.448418855667114
-40.0,-84.0,1256.0,333.0,-449.0,-306.0,0.0,-0.27037500000000014,0.0,0.6370000000000005,10107.0,2318.0,1425134336.79885,5.675050973892212
-44.0,-92.0,1236.0,332.0,-445.0,-304.0,0.0,0.24587499999999984,0.0,0.0,10109.0,2318.0,1425134337.025672,5.901872873306274
-12.0,12.0,1152.0,333.0,-446.0,-301.0,0.0,-0.20037500000000008,0.0,0.0,10110.0,2318.0,1425134337.252377,6.128577947616577
4.0,-72.0,1200.0,337.0,-447.0,-304.0,0.0,-0.2353750000000001,0.0,-0.6929999999999998,10109.0,2318.0,1425134337.479281,6.355481863021851
-44.0,52.0,1172.0,332.0,-442.0,-302.0,0.0,0.0,0.0,0.0,10110.0,2318.0,1425134337.706389,6.582589864730835
-20.0,-92.0,1204.0,328.0,-447.0,-298.0,0.0,-0.27912500000000007,0.0,0.0,10111.0,2318.0,1425134337.932928,6.809128999710083
8.0,-88.0,1180.0,332.0,-450.0,-306.0,0.0,0.0,0.0,0.0,10109.0,2318.0,1425134338.159967,7.036167860031128
-24.0,-8.0,1184.0,329.0,-446.0,-300.0,0.0,-0.4978750000000001,0.0,-0.7454999999999998,10109.0,2318.0,1425134338.387107,7.263307809829712
-4.0,4.0,1164.0,332.0,-450.0,-301.0,0.0,0.0,0.0,0.8295000000000003,10109.0,2318.0,1425134338.613781,7.4899818897247314
