a,b,c,d,e,f,g,h,i,j,k,l,m
-32.0,-16.0,1156.0,32.0,-312.0,-457.0,0.0,-6.538000000000001,0.0,0.0,10174.0,2621.0,1425147954.327961
-44.0,-24.0,1188.0,15.0,-280.0,-425.0,0.0,-6.240500000000001,0.0,-0.9244374999999989,10173.0,2622.0,1425147954.55551
-48.0,-44.0,1196.0,14.0,-286.0,-430.0,0.0,0.9694999999999996,0.0,0.3355625,10178.0,2622.0,1425147954.783016
-48.0,-20.0,1160.0,7.0,-275.0,-438.0,0.0,0.0,0.0,1.674312500000001,10173.0,2622.0,1425147955.009812
-24.0,-24.0,1140.0,1.0,-286.0,-428.0,0.0,-6.345500000000001,3.1018750000000024,3.3805625000000017,10172.0,2623.0,1425147955.237171
-28.0,-16.0,1184.0,-1.0,-277.0,-421.0,0.0,-5.654250000000001,0.0,0.0,10178.0,2623.0,1425147955.464302
-24.0,-12.0,1112.0,-11.0,-286.0,-422.0,0.0,-4.560500000000001,0.0,-3.3394375,10174.0,2623.0,1425147955.691531
-20.0,-32.0,1224.0,-11.0,-262.0,-410.0,0.0,0.0,-1.3343749999999979,-4.721937499999999,10175.0,2623.0,1425147955.920094
-32.0,-8.0,1160.0,-9.0,-273.0,-421.0,0.0,0.5494999999999997,2.6643750000000024,-1.1256874999999997,10173.0,2624.0,1425147956.14754
-36.0,-16.0,1160.0,-14.0,-277.0,-420.0,0.0,-5.251750000000001,0.0,2.6980625000000007,10174.0,2624.0,1425147956.374635
-48.0,-40.0,1164.0,-16.0,-274.0,-405.0,0.0,-4.814250000000001,0.0,5.174312500000001,10174.0,2624.0,1425147956.601388
-32.0,-60.0,1176.0,-20.0,-286.0,-401.0,0.0,0.0,-2.865624999999998,3.0655625000000004,10174.0,2624.0,1425147956.82845
-36.0,-52.0,1176.0,-23.0,-286.0,-406.0,0.0,3.0519999999999996,0.0,-0.6706874999999997,10172.0,2624.0,1425147957.055592
-28.0,-40.0,1236.0,-25.0,-264.0,-410.0,0.0,0.5582499999999997,2.3143750000000027,-3.9081874999999995,10172.0,2624.0,1425147957.282983
-48.0,-20.0,1188.0,-20.0,-270.0,-416.0,0.0,-5.208000000000001,0.0,-7.6094375,10184.0,2624.0,1425147957.510064
-48.0,-24.0,1140.0,-29.0,-276.0,-407.0,0.0,-2.1630000000000007,0.818125000000002,-4.8794375,10170.0,2625.0,1425147957.737118
-8.0,-16.0,1212.0,-32.0,-264.0,-413.0,0.0,1.7394999999999996,-3.4781249999999986,-2.3244374999999993,10171.0,2625.0,1425147957.964721
-40.0,8.0,1140.0,-38.0,-266.0,-414.0,0.0,0.0,-1.3168749999999978,0.9480625000000007,10171.0,2625.0,1425147958.191755
-24.0,20.0,1144.0,-43.0,-264.0,-408.0,0.0,-8.900500000000001,3.058125000000002,4.351812500000001,10169.0,2625.0,1425147958.418772
-28.0,-20.0,1140.0,-42.0,-267.0,-400.0,0.0,-10.991750000000003,0.0,4.990562500000001,10171.0,2625.0,1425147958.647489
-24.0,-36.0,1156.0,-59.0,-268.0,-386.0,0.0,-0.5617500000000004,-3.3993749999999974,6.1893125000000015,10172.0,2625.0,1425147958.87455
-8.0,-64.0,1188.0,-54.0,-271.0,-388.0,0.0,4.74075,-3.521874999999998,5.086812500000001,10171.0,2625.0,1425147959.101679
-36.0,36.0,1140.0,-59.0,-256.0,-396.0,0.0,5.1695,2.2093750000000023,0.4668125000000014,10182.0,2625.0,1425147959.329392
